Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp "
100,0,32.14655,0,0,0,0,0,0,0,0,0,1.472173542,-0.234602994,248.8862252,1.030358691,-11.81520703,248.2834042,0.403592895,0.340439488,4000,0,25.10528492,0.37255,28.67264215
5.831106186,7.478975717,32.14655,0.5,0.5,-0.191002738,-0.004535944,0.007817076,-0.186321285,-1.910059964,0.07,0,1.474278079,-0.227190186,248.9041641,1.037246167,-11.67741832,248.2862475,0.390415259,0.33494241,10.86708717,1,26.08114409,0.37255,28.63640019
5.960335089,7.479674609,32.14655,0,0,-0.1936,-0.005464729,0.007970554,-0.188540174,-1.93601,0.07,0,1.485019139,-0.22506024,248.9034357,1.031778813,-11.55014121,248.2657078,0.425480819,0.325348821,10.87421647,1,27.07921211,0.37255,28.61443325
6.090188389,7.48064303,32.14655,0,0,-0.1936,-0.007497005,0.008081024,-0.18822189,-1.93601,0.07,0,1.513535027,-0.228056923,248.8866181,1.042228728,-11.43355733,248.2297023,0.466196531,0.313103755,10.88231468,1,28.09889213,0.376670615,29.07895943
6.221038593,7.482029639,32.14655,0,0,-0.194992479,-0.010119085,0.008111974,-0.189340182,-1.949926763,0.07,0,1.565717858,-0.233334738,248.8557933,1.096397834,-11.33107021,248.191569,0.464436189,0.30069535,10.89079638,1,29.14050864,0.385887073,30.13394321
6.352549741,7.483270863,32.14655,0,0,-0.198609643,-0.012326439,0.008122058,-0.192727,-1.986073198,0.07,0,1.637135073,-0.239530463,248.8130891,1.168532841,-11.24064238,248.1514928,0.465609104,0.288994317,10.89932455,1,30.19994531,0.38824,30.46653034
6.484972327,7.482585739,32.14655,0,0,-0.205415774,-0.013287052,0.008319814,-0.199333162,-2.054145282,0.07,0,1.716217109,-0.252957145,248.759795,1.236319379,-11.14951011,248.0886172,0.494334775,0.27515212,10.90837633,1,31.28019044,0.38824,30.54351373
6.618893002,7.479107659,32.14655,0,0,-0.216449776,-0.012554988,0.008682695,-0.210171173,-2.164493112,0.07,0,1.787725437,-0.280543462,248.6956542,1.294607181,-11.04947205,247.9881598,0.531675393,0.256299691,10.91842522,1,32.38857618,0.390172621,30.82781908
6.753297993,7.4754735,32.14655,0,0,-0.225699954,-0.010948979,0.008959476,-0.219205265,-2.256995602,0.07,0,1.840924935,-0.319990672,248.619499,1.334045544,-10.95394376,247.8710466,0.573706398,0.235436569,10.92939128,1,33.52004965,0.39216,31.12144994
6.888421622,7.473077568,32.14655,0,0,-0.231262973,-0.009180811,0.008906757,-0.224521081,-2.312632703,0.07,0,1.875800541,-0.359628919,248.5307286,1.345405405,-10.88007054,247.7699876,0.634739459,0.218484054,10.94170027,1,34.67352784,0.39216,31.19714865
7.024438515,7.472339099,32.14655,0,0,-0.23285,-0.007724655,0.008478229,-0.225860021,-2.32849,0.07,0,1.894286087,-0.384933796,248.4287788,1.36033035,-10.83985797,247.7073453,0.65002825,0.21028315,10.95508786,1,35.85021861,0.39216,31.26618034
7.156108319,7.471763422,32.14655,0,0,-0.23285,-0.006242871,0.008059245,-0.225649862,-2.32849,0.07,0,1.896339439,-0.393103024,248.3195046,1.37731648,-10.82079139,247.6619705,0.622231125,0.207831091,10.96786059,1,37.00597254,0.39216,31.32704684
7.291298601,7.470174729,32.14655,0,0,-0.23285,-0.00448882,0.007782353,-0.225465909,-2.32849,0.07,0,1.880738328,-0.389868357,248.1987671,1.371506147,-10.80374753,247.6009205,0.600559782,0.204108333,10.98056879,1,38.20398995,0.39479081,31.67843157
7.425297236,7.467581304,32.14655,0,0,-0.23285,-0.002780719,0.00770362,-0.225301538,-2.32849,0.07,0,1.848885829,-0.382503644,248.0723779,1.333099053,-10.78096441,247.5135028,0.60914829,0.195734317,10.99310089,1,39.39732867,0.401082011,32.45786621
7.566665253,7.467363485,32.14655,0,0,-0.23285,-0.000796463,0.007925026,-0.225153961,-2.32849,0.07,0,1.799335179,-0.382455192,247.9335583,1.267546251,-10.7448896,247.3804675,0.638403647,0.179176035,11.00691751,1,40.66107236,0.40392,32.86461122
7.711803413,7.470088603,32.14655,0,0,-0.23285,0.00123949,0.008251542,-0.225022465,-2.32849,0.07,0,1.731478516,-0.395332192,247.7858938,1.197706849,-10.69847161,247.2096797,0.645355296,0.154815666,11.02164024,1,41.9663089,0.40392,32.94717783
7.857149327,7.473657008,32.14655,0,0,-0.23285,0.002755791,0.008572227,-0.224904048,-2.32849,0.07,0,1.650269736,-0.420319022,247.6336078,1.144514718,-10.65023286,247.0249569,0.600058147,0.128249239,11.03595423,1,43.28272679,0.40392,33.01909069
8.003927152,7.476537297,32.14655,0,0,-0.23285,0.00304,0.008752281,-0.224791779,-2.32849,0.07,0,1.565517914,-0.45424834,247.4755648,1.10509667,-10.60172588,246.8314577,0.526205918,0.100630867,11.04885488,1,44.62433041,0.40392,33.08220148
8.147225864,7.478856734,32.14655,0,0,-0.224074879,0.001692449,0.008812085,-0.215882583,-2.240722746,0.07,0,1.495645604,-0.48947252,247.3172929,1.060192752,-10.56470345,246.6549173,0.491588855,0.077776117,11.06045409,1,45.94888266,0.40392,33.13644534
8.295202033,7.48161471,32.14655,0,0,-0.166746994,-0.001175158,0.008989576,-0.158450684,-1.667431457,0.07,0,1.45104369,-0.530823014,247.1590264,1.026650661,-10.54601426,246.5185751,0.485426436,0.064687495,11.07219777,1,47.3286006,0.40392,33.18427842
8.435129899,7.48500597,32.14655,0,0,-0.15685,-0.004307588,0.008753026,-0.148822678,-1.56846,0.07,0,1.440963527,-0.563090594,247.0243981,1.036363226,-10.52178401,246.4035877,0.460398569,0.058076763,11.08311844,1,48.64942043,0.406998048,33.57880054
8.588730849,7.48596443,32.14655,0,0,-0.154266308,-0.007254593,0.008254734,-0.146613192,-1.542687267,0.07,0,1.456327355,-0.579601903,246.8932205,1.079880109,-10.49299227,246.3067725,0.415177546,0.058176396,11.09418544,1,50.12071814,0.410985365,34.09325585
8.737490294,7.483750731,32.14655,0,0,-0.156180227,-0.009154313,0.007777762,-0.148845746,-1.561778915,0.07,0,1.489175298,-0.57587499,246.7819007,1.122454478,-10.45865638,246.232242,0.396507005,0.063767174,11.104305,1,51.56949787,0.41176,34.24686998
8.887746158,7.481344199,32.14655,0,0,-0.15685,-0.010406007,0.007561061,-0.149825807,-1.56846,0.07,0,1.533149102,-0.561848987,246.6842385,1.152090475,-10.41311297,246.1616121,0.417267234,0.070872857,11.11479123,1,53.05173314,0.41176,34.30776502
9.0390908,7.480547653,32.14655,0,0,-0.154118535,-0.010512758,0.007614828,-0.147387571,-1.541213214,0.07,0,1.578202975,-0.548123729,246.5993863,1.189560194,-10.35220831,246.0831126,0.425941188,0.07490636,11.12597178,1,54.56697189,0.41176,34.3632584
9.190360722,7.479243455,32.14655,0,0,-0.15363,-0.008837174,0.007602299,-0.147180075,-1.53634,0.07,0,1.607607233,-0.534504776,246.5281251,1.216905248,-10.28107669,246.009075,0.424738706,0.078074698,11.13741386,1,56.10759723,0.41176,34.41508999
